1.546388155644667e+18,b,2.0
1.546388155740713e+18,s,1.0
1.5463881560733284e+18,s,1.0
1.546388156758014e+18,b,1.0
1.546388156758014e+18,b,1.0
1.5463881570308e+18,b,1.0
1.5463881570308e+18,b,2.0
1.5463881570308e+18,b,3.0
1.5463881570308882e+18,b,1.0
1.5463881570308882e+18,b,2.0
1.5463881583158659e+18,s,1.0
1.546388159149362e+18,s,1.0
1.5463881599094205e+18,s,1.0
1.5463881599269248e+18,b,1.0
1.5463881599269248e+18,b,1.0
1.5463881599269248e+18,b,5.0
1.5463881599269248e+18,b,1.0
1.5463881599269248e+18,b,11.0
1.546388159931799e+18,s,1.0
1.5463881604233313e+18,s,1.0
1.5463881604916424e+18,s,1.0
1.5463881605449605e+18,s,1.0
1.54638816083987e+18,s,1.0
1.5463881608416113e+18,s,1.0
1.546388161003287e+18,s,2.0
1.5463881614262175e+18,s,1.0
1.5463881615910566e+18,s,1.0
1.5463881627008118e+18,s,1.0
1.5463881630720494e+18,s,1.0
1.546388163515056e+18,s,1.0
1.5463881636516803e+18,s,1.0
1.54638816381165e+18,s,1.0
1.5463881639798234e+18,s,1.0
1.546388164060618e+18,b,2.0
1.546388164060618e+18,b,1.0
1.546388164060618e+18,b,1.0
1.546388164060618e+18,b,1.0
1.5463881642039985e+18,s,1.0
1.5463881643276956e+18,s,1.0
1.5463881665569564e+18,s,1.0
1.5463881665652654e+18,b,1.0
1.546388166565385e+18,b,1.0
1.5463881666298929e+18,s,3.0
1.5463881666665183e+18,s,1.0
1.5463881667756861e+18,s,1.0
1.5463881683265044e+18,s,1.0
1.546388172386011e+18,b,2.0
1.5463881729137836e+18,b,1.0
1.5463881739103877e+18,b,1.0
1.5463881871996792e+18,b,1.0
1.5463881890537695e+18,b,1.0
1.546388190323507e+18,b,1.0
1.54638819768663e+18,b,1.0
1.5463882000266744e+18,s,1.0
1.5463882288771953e+18,b,1.0
1.5463882365176778e+18,s,1.0
1.5463882482433277e+18,s,1.0
1.5463882495736863e+18,b,1.0
1.5463882788769915e+18,s,2.0
1.5463882830433487e+18,s,1.0
1.5463882831252314e+18,s,1.0
1.5463882917932232e+18,s,2.0
1.5463882955548797e+18,s,1.0
1.5463883198825426e+18,s,1.0
1.546388319973918e+18,s,1.0
1.5463883238456952e+18,s,1.0
1.5463883238698888e+18,s,1.0
1.546388324382065e+18,s,1.0
1.5463883249909007e+18,s,1.0
1.5463883709705577e+18,s,1.0
1.5463883948765832e+18,b,1.0
1.546388410865959e+18,b,1.0
1.5463884398375685e+18,b,1.0
1.5463884420279854e+18,s,1.0
1.5463884541773855e+18,s,1.0
1.546388464542197e+18,s,1.0
1.5463884709125745e+18,s,1.0
1.5463884736636416e+18,b,1.0
1.5463884753613606e+18,s,1.0
1.5463884771303322e+18,s,2.0
1.5463884783374075e+18,s,1.0
1.5463884832924214e+18,s,1.0
1.5463884980163077e+18,s,1.0
1.5463884983764585e+18,b,1.0
1.5463885042927373e+18,s,1.0
1.5463885151499822e+18,b,1.0
1.5463885180944858e+18,s,1.0
1.5463885273227743e+18,s,1.0
1.5463885305507986e+18,b,1.0
1.5463885521071596e+18,s,1.0
1.5463885539104148e+18,s,1.0
1.5463885560568236e+18,s,1.0
1.5463885605219113e+18,s,1.0
1.5463885650036436e+18,s,2.0
1.54638856883669e+18,b,1.0
1.5463885800887173e+18,s,2.0
1.546388580922482e+18,s,1.0
1.546388591384673e+18,s,3.0
1.546388598319488e+18,b,2.0
1.5463886015106696e+18,b,2.0
1.546388611793054e+18,b,2.0
1.5463886222033736e+18,b,2.0
1.5463886516737034e+18,s,1.0
1.5463887332132646e+18,b,1.0
1.5463887444791516e+18,b,1.0
1.5463887784855626e+18,s,1.0
1.5463888586401546e+18,s,1.0
1.5463888594321208e+18,s,1.0
1.5463888662190615e+18,b,1.0
1.546388897325396e+18,s,1.0
1.546388898173366e+18,s,1.0
1.5463888986859712e+18,b,1.0
1.546388907065733e+18,s,2.0
1.5463889075956472e+18,s,2.0
1.5463889085326858e+18,s,1.0
1.5463889363003108e+18,s,1.0
1.5463889917980808e+18,s,1.0
1.5463889931554511e+18,s,1.0
1.5463889935384753e+18,s,1.0
1.5463890001029888e+18,s,1.0
1.5463890050140037e+18,s,1.0
1.546389006181118e+18,s,1.0
1.5463890149034237e+18,s,1.0
1.5463890328335588e+18,b,1.0
1.5463890430218063e+18,b,1.0
1.5463890430218583e+18,b,1.0
1.5463890430220923e+18,s,1.0
1.5463890430252495e+18,b,1.0
1.5463890551575724e+18,b,1.0
1.5463890608671782e+18,b,1.0
1.5463890632393958e+18,s,1.0
1.5463890948848573e+18,s,1.0
1.5463891058226473e+18,b,1.0
1.5463892470681106e+18,s,1.0
1.5463892969040737e+18,s,1.0
1.546389310652661e+18,s,1.0
1.5463893323480668e+18,b,1.0
1.5463893373807214e+18,b,1.0
1.546389337654172e+18,b,1.0
1.5463893691255132e+18,b,1.0
1.5463893805202977e+18,s,1.0
1.5463894215574344e+18,b,1.0
1.5463894301830769e+18,s,1.0
1.5463894301841216e+18,s,1.0
1.546389440185946e+18,s,1.0
1.546389445393221e+18,b,1.0
1.546389498336408e+18,b,1.0
1.5463895331368812e+18,s,1.0
1.5463895351003738e+18,s,1.0
1.546389541160018e+18,b,1.0
1.5463895411601098e+18,b,1.0
1.5463895421681812e+18,s,1.0
1.546389542168429e+18,s,2.0
1.546389545474322e+18,s,1.0
1.5463895455966605e+18,s,1.0
1.5463895460645353e+18,s,1.0
1.5463895539702333e+18,s,1.0
1.5463895540590226e+18,b,1.0
1.5463895638634368e+18,s,1.0
1.5463895656585405e+18,b,1.0
1.5463896121510915e+18,b,1.0
1.5463896286223852e+18,s,1.0
1.5463896661646835e+18,s,2.0
1.5463896662545313e+18,b,1.0
1.546389666343075e+18,b,1.0
